id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,license
27623301,NYC oasis in Gramercy,31250838867,unconfirmed,Michal,Manhattan,Stuyvesant Town,40.73549,-73.97707,United States,US,TRUE,flexible,Entire home/apt,2021,$951 ,$190 ,20,0,,,4,1,30,
53024130,Gorgeous Times Square Flat!,46261863080,verified,Jowelle,Manhattan,Hell's Kitchen,40.76008,-73.98846,United States,US,FALSE,strict,Entire home/apt,2021,$543 ,$109 ,2,41,5/29/2019,2.79,5,5,169,
50922076,"Great Room &Host, steps from #1 train",17623893479,unconfirmed,Dee,Manhattan,Harlem,40.82378,-73.95354,United States,US,TRUE,strict,Private room,2010,$812 ,$162 ,60,13,8/15/2018,0.67,3,4,0,
50265391,Spacious Private Bedroom in the North Bronx,48334233422,verified,Liliana,Bronx,Kingsbridge,40.88283,-73.89326,United States,US,TRUE,moderate,Private room,2006,$328 ,$66 ,3,2,5/25/2017,0.07,5,1,363,
5566648,Colorful & Spacious near A Express,45624334759,verified,Andrew,Manhattan,Washington Heights,40.85111,-73.93325,United States,US,TRUE,strict,Private room,2015,$132 ,$26 ,2,48,6/30/2019,0.97,4,1,223,
12937644,My little LOFT in Brooklyn :),74049141578,unconfirmed,Blessing,Brooklyn,Bedford-Stuyvesant,40.68336,-73.95421,United States,US,FALSE,strict,Entire home/apt,2019,$793 ,$159 ,1,27,07/06/19,0.98,1,1,39,
43880251,Luxury Apt - Private room & entry!,25457381922,unconfirmed,Jo & Savannah,Brooklyn,Bedford-Stuyvesant,40.68194,-73.90956,United States,US,FALSE,flexible,Private room,2007,$460 ,$92 ,2,151,5/28/2019,4.93,4,3,0,
17608445,Chic/Industrial 1 Bedroom Near Barclay's Center,29532636057,unconfirmed,Emily,Brooklyn,Gowanus,40.68293,-73.98849,United States,US,FALSE,moderate,Entire home/apt,2015,$738 ,$148 ,3,5,12/29/2018,0.3,2,1,0,
22736550,MILES DAVIS BIG BEAUTIFUL BEDROOM,7886855500,verified,Maxime C/Armande C,Manhattan,East Harlem,40.80822,-73.94051,United States,US,FALSE,moderate,Private room,2020,$836 ,$167 ,2,20,6/24/2019,3.09,3,6,0,
8196148,"❤️ of Wburg, 2.5 Rms, Sep Entrances",44460673468,unconfirmed,Elli,Brooklyn,Williamsburg,40.71947,-73.95677,United States,US,TRUE,flexible,Entire home/apt,2014,$506 ,$101 ,30,3,5/21/2017,0.09,4,3,0,
